full name,code,Sector_main,sector,EPS,P/E,DY,DPS,RSI_status,Stochastic_status,Market_Cap (M),risk_klse,ta,tl,te,debt_ratio,debt-equity_ratio,risk_pdf,risk
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0438,2.3,Neutral,Neutral,89,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0438,2.3,Neutral,Neutral,89,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0442,2.3,Neutral,Neutral,88.1,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0442,2.3,Neutral,Neutral,88.1,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
ARK RESOURCES HOLDINGS BERHAD,7007, Main Market,Property ,-5.46,-9,0,0,Neutral,Overbought,24.3,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Neutral,30.8,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Neutral,30.8,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Neutral,30.8,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Neutral,30.8,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Neutral,30.8,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32.6,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32.6,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32.6,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32.6,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32.6,high,,,,,,,high
ASIA FILE CORPORATION BHD,7129, Main Market,Consumer Products & Services ,23.38,11,0.0435,11,Neutral,Neutral,492.7,low,,,,,,,low
ASIA MEDIA GROUP BERHAD,159, Main Market,Telecommunications & Media ,-1.31,-13,0,0,Neutral,Neutral,39.5,high,,,,,,,high
ASIA POLY HOLDINGS BERHAD,105, Ace Market,Industrial Products & Services ,-0.64,-12,0,0,Neutral,Neutral,35.9,high,64412907,297141,64115766,0.004613066,0.004634445,low,medium
ASIAN PAC HOLDINGS BERHAD,4057, Main Market,Property ,3.65,3,0,0,Neutral,Oversold,119.3,medium,,,,,,,medium
ASTINO BERHAD,7162, Main Market,Industrial Products & Services ,7.58,9,0.0149,1,Neutral,Neutral,183.7,medium,516664589,154404821,336856219,0.298849242,0.458370107,low,medium
ASTRAL ASIA BERHAD,7054, Main Market,Plantation ,-0.81,-18,0,0,Neutral,Oversold,95.7,high,,,,,,,high
ASTRO MALAYSIA HOLDINGS BERHAD,6399, Main Market,Telecommunications & Media ,8.88,17,0.0588,9,Neutral,Neutral,7977.9,low,,,,,,,low
AT SYSTEMATIZATION BERHAD,72, Ace Market,Industrial Products & Services ,-1.59,-3,0,0,Neutral,Oversold,20.9,high,,,,,,,high
ATA IMS BERHAD,8176, Main Market,Industrial Products & Services ,9.45,18,0,0,Neutral,Neutral,1984.3,low,,,,,,,low
ATTA GLOBAL GROUP BERHAD,7099, Main Market,Industrial Products & Services ,-1.82,-38,0,0,Neutral,Neutral,147.2,high,,,,,,,high
ATURMAJU RESOURCES BERHAD,7181, Main Market,Industrial Products & Services ,5.22,8,0,0,Neutral,Neutral,33.6,medium,12104000,752000,11352000,0.062128222,0.066243834,low,medium
AVILLION BERHAD,8885, Main Market,Consumer Products & Services ,-1.79,-14,0,0,Neutral,Neutral,210.3,high,,,,,,,high
AWC BERHAD,7579, Main Market,Industrial Products & Services ,8.45,9,0.0061,0.47,Neutral,Neutral,220.2,medium,,,,,,,medium
AYER HOLDINGS BERHAD,2305, Main Market,Property ,26.92,17,0.0111,5,Neutral,Neutral,336.8,low,,,,,,,low
