full name,code,Sector_main,sector,EPS,P/E,DY,DPS,RSI_status,Stochastic_status,Market_Cap (M),risk_klse,ta,tl,te,debt_ratio,debt-equity_ratio,risk_pdf,risk
CIMB GROUP HOLDINGS BERHAD,1023, Main Market,Financial Services ,58.38,9,0.0241,13,Oversold,Oversold,51552.4,low,5.34E+11,4.82E+11,,0.902621723,,low,low
CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117, Main Market,Transportation & Logistics ,2.48,18,0.0167,0.75,Neutral,Neutral,177.4,low,222164000,2943000,219221000,0.013246971,0.013424809,low,low
CLASSIC SCENIC BERHAD,7202, Main Market,Consumer Products & Services ,6,19,0.0531,6,Neutral,Neutral,136.2,low,,,,,,,low
CME GROUP BERHAD,7018, Main Market,Industrial Products & Services ,-2.11,-2,0,0,Neutral,Overbought,23.4,high,109083000,56233000,52850000,0.515506541,1.064011353,medium,high
CN ASIA CORPORATION BHD,7986, Main Market,Industrial Products & Services ,3.57,12,0,0,Neutral,Neutral,19.7,medium,,,,,,,medium
CNI HOLDINGS BERHAD,5104, Main Market,Consumer Products & Services ,0.11,66,0.0429,0.3,Neutral,Neutral,50.4,medium,95791602,2446771,93344831,0.025542646,0.026212175,low,medium
COASTAL CONTRACTS BHD,5071, Main Market,Energy ,-103.19,-1,0,0,Overbought,Overbought,707,high,,,,,,,high
COCOALAND HOLDINGS BERHAD,7205, Main Market,Consumer Products & Services ,13.51,15,0.0294,6,Neutral,Oversold,466.8,low,,,,,,,low
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,4.96,17,0,0,Neutral,Overbought,486.1,medium,,,,,,,medium
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,4.96,17,0,0,Neutral,Overbought,486.1,medium,,,,,,,medium
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,4.96,17,0,0,Neutral,Overbought,483.3,medium,,,,,,,medium
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,4.96,17,0,0,Neutral,Overbought,483.3,medium,,,,,,,medium
COMPLETE LOGISTIC SERVICES BERHAD,5136, Main Market,Transportation & Logistics ,9.21,9,0,0,Neutral,Neutral,108.1,medium,,,,,,,medium
COMPUGATES HOLDINGS BERHAD,5037, Main Market,Industrial Products & Services ,-0.26,-10,0,0,Neutral,Neutral,58.7,high,,,,,,,high
COMPUTER FORMS (MALAYSIA) BERHAD,8044, Main Market,Industrial Products & Services ,-12.27,-10,0,0,Neutral,Neutral,51.3,high,,,,,,,high
CONNECTCOUNTY HOLDINGS BERHAD,102, Ace Market,Industrial Products & Services ,-2.89,-4,0,0,Neutral,Oversold,34.6,high,48483065,17789458,30693607,0.366921068,0.579581865,low,medium
COUNTRY HEIGHTS HOLDINGS BHD,5738, Main Market,Property ,30.91,5,0,0,Neutral,Neutral,410.8,medium,,,,,,,medium
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,13.33,10,0.0458,6,Neutral,Neutral,367.4,medium,,,,,,,medium
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,13.33,10,0.0458,6,Neutral,Neutral,367.4,medium,,,,,,,medium
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,13.33,10,0.0462,6,Neutral,Neutral,364.6,medium,,,,,,,medium
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,13.33,10,0.0462,6,Neutral,Neutral,364.6,medium,,,,,,,medium
CREST BUILDER HOLDINGS BERHAD,8591, Main Market,Construction ,39.78,3,0,0,Neutral,Neutral,176.9,medium,,,,,,,medium
CSC STEEL HOLDINGS BERHAD,5094, Main Market,Industrial Products & Services ,5.76,19,0,0,Neutral,Oversold,406.6,medium,,,,,,,medium
CUSCAPI BERHAD,51, Main Market,Technology ,-2.55,-8,0,0,Neutral,Neutral,167.6,high,85668397,20864860,64803537,0.243553758,0.321971006,low,medium
CWG HOLDINGS BERHAD,9423, Main Market,Consumer Products & Services ,4.24,10,0.0355,1.49,Neutral,Oversold,53,medium,,,,,,,medium
CYCLE & CARRIAGE BINTANG BERHAD,2925, Main Market,Consumer Products & Services ,22.15,7,0,0,Neutral,Neutral,158.2,medium,776528000,483221000,293307000,0.622284064,1.647492218,medium,medium
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,-1.84,-23,0,0,Neutral,Oversold,42,high,,,,,,,high
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,-1.84,-23,0,0,Neutral,Oversold,42,high,,,,,,,high
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,-1.84,-23,0,0,Neutral,Neutral,43,high,,,,,,,high
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,-1.84,-23,0,0,Neutral,Neutral,43,high,,,,,,,high
CYMAO HOLDINGS BERHAD,5082, Main Market,Industrial Products & Services ,-5.72,-6,0,0,Neutral,Neutral,25.9,high,79244389,11969557,67553538,0.151046114,0.177186234,low,medium
CYPARK RESOURCES BERHAD,5184, Main Market,Industrial Products & Services ,15.53,11,0.0137,2.32,Neutral,Neutral,774.5,low,549564171,148691477,400872694,0.270562538,0.370919445,low,low
D.B.E. GURNEY RESOURCES BERHAD,7179, Main Market,Consumer Products & Services ,-1.01,-3,0,0,Neutral,Neutral,80.3,high,,,,,,,high
DAGANG NEXCHANGE BERHAD,4456, Main Market,Technology ,2.01,14,0,0,Neutral,Neutral,509.8,medium,349486000,32924000,316562000,0.094206921,0.104004903,low,medium
DAIMAN DEVELOPMENT BHD,5355, Main Market,Property ,9.32,32,0.0167,5,Neutral,Neutral,634.5,low,,,,,,,low
DANCOMECH HOLDINGS BERHAD,5276, Main Market,Industrial Products & Services ,5.04,12,0.0129,0.77,Neutral,Overbought,177.3,low,,,,,,,low
DATAPREP HOLDINGS BHD,8338, Main Market,Technology ,-1.95,-11,0,0,Neutral,Neutral,88.5,high,,,,,,,high
DATASONIC GROUP BERHAD,5216, Main Market,Technology ,3.13,16,0.0505,2.5,Neutral,Neutral,668.3,low,,,,,,,low
DAYA MATERIALS BERHAD,91, Main Market,Energy ,-7.76,0,0,0,Neutral,Oversold,10.2,high,,,,,,,high
DEGEM BERHAD,7119, Main Market,Consumer Products & Services ,-0.01,-15672,0.0095,1,Neutral,Neutral,140.7,high,77358000,467000,76891000,0.006036868,0.006073533,low,medium
DELEUM BERHAD,5132, Main Market,Energy ,6.77,17,0.0313,3.5,Neutral,Neutral,449.3,low,,,,,,,low
DESTINI BERHAD,7212, Main Market,Industrial Products & Services ,0.16,144,0,0,Neutral,Neutral,259.9,medium,432571571,55289782,377281789,0.127816495,0.146547709,low,medium
DGB ASIA BERHAD,152, Ace Market,Technology ,-1.03,-13,0,0,Neutral,Neutral,98.3,high,54245030,592548,53652482,0.010923545,0.011044186,low,medium
DIGISTAR CORPORATION BERHAD,29, Main Market,Technology ,-3.09,-1,0,0,Neutral,Oversold,29.6,high,140739981,52131400,88608581,0.370409315,0.588333538,low,medium
DKLS INDUSTRIES BHD,7528, Main Market,Construction ,5.97,29,0,0,Neutral,Neutral,158.5,medium,,,,,,,medium
DKSH HOLDINGS (MALAYSIA) BERHAD,5908, Main Market,Consumer Products & Services ,28.3,9,0,0,Neutral,Oversold,389.4,medium,,,,,,,medium
DOLOMITE CORPORATION BERHAD,5835, Main Market,Industrial Products & Services ,-41.34,0,0,0,Neutral,Neutral,31.3,high,,,,,,,high
DOMINANT ENTERPRISE BERHAD,7169, Main Market,Industrial Products & Services ,20.48,6,0.0556,7,Neutral,Neutral,208.2,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,34,0,0,Oversold,Oversold,92.5,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,34,0,0,Oversold,Oversold,92.5,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,34,0,0,Oversold,Oversold,92.5,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,34,0,0,Oversold,Oversold,92.5,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,34,0,0,Oversold,Oversold,92.5,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,34,0,0,Oversold,Oversold,92.5,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,33,0,0,Oversold,Oversold,90,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,33,0,0,Oversold,Oversold,90,medium,,,,,,,medium
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.56,33,0,0,Oversold,Oversold,90,medium,,,,,,,medium
DPS RESOURCES BERHAD,7198, Main Market,Property ,-1.04,-6,0,0,Neutral,Neutral,38.2,high,,,,,,,high
DRB-HICOM BERHAD,1619, Main Market,Consumer Products & Services ,-0.79,-236,0.0161,3,Neutral,Neutral,3595.8,medium,,,,,,,medium
DUFU TECHNOLOGY CORP. BERHAD,7233, Main Market,Industrial Products & Services ,19.7,8,0.0096,1.56,Neutral,Oversold,429,medium,95741500,71700,95669800,0.000748892,0.000749453,low,medium
DUTALAND BERHAD,3948, Main Market,Plantation ,46.2,1,0.101,5,Neutral,Neutral,418.8,medium,,,,,,,medium
DUTCH LADY MILK INDUSTRIES BERHAD,3026, Main Market,Consumer Products & Services ,202.26,32,0.0141,90,Neutral,Neutral,4089.6,low,404802000,299343000,105459000,0.739480042,2.838477513,medium,medium
E.A.TECHNIQUE (M) BERHAD,5259, Main Market,Transportation & Logistics ,14.73,3,0,0,Neutral,Neutral,214.2,medium,859400982,632515669,226885313,0.735995981,2.787821127,medium,medium
EA HOLDINGS BERHAD,154, Ace Market,Technology ,-0.16,-10,0,0,Neutral,Oversold,76.1,high,,,,,,,high
EASTLAND EQUITY BHD,2097, Main Market,Consumer Products & Services ,-3.59,-3,0,0,Neutral,Oversold,24.6,high,,,,,,,high
ECO WORLD DEVELOPMENT GROUP BERHAD,8206, Main Market,Property ,5.84,16,0,0,Neutral,Neutral,2738.3,low,5119132000,1288882000,3830250000,0.25177745,0.336500751,low,low
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,3.09,24,0,0,Neutral,Oversold,1788,low,3552961000,772125000,2780836000,0.217318738,0.277659308,low,low
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,3.09,24,0,0,Neutral,Oversold,1788,low,3552961000,772125000,2780836000,0.217318738,0.277659308,low,low
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,3.09,24,0,0,Neutral,Oversold,1776,low,3552961000,772125000,2780836000,0.217318738,0.277659308,low,low
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,3.09,24,0,0,Neutral,Oversold,1776,low,3552961000,772125000,2780836000,0.217318738,0.277659308,low,low
ECONPILE HOLDINGS BERHAD,5253, Main Market,Construction ,1.78,27,0.0211,1,Neutral,Neutral,635.3,low,,,,,,,low
EDARAN BERHAD,5036, Main Market,Technology ,11.66,5,0,0,Neutral,Neutral,33.9,medium,,,,,,,medium
EDEN INC. BERHAD,7471, Main Market,Utilities ,-2.05,-6,0,0,Neutral,Neutral,46.9,high,339647000,117245000,222402000,0.345196631,0.527176015,low,medium
EDUSPEC HOLDINGS BERHAD,107, Ace Market,Technology ,-4.23,-1,0,0,Neutral,Neutral,33.1,high,,,,,,,high
EFFICIENT E-SOLUTIONS BERHAD,64, Main Market,Industrial Products & Services ,-1.07,-17,0,0,Neutral,Neutral,127.6,high,,,,,,,high
EG INDUSTRIES BERHAD,8907, Main Market,Industrial Products & Services ,6.16,8,0,0,Neutral,Neutral,125.9,medium,238125000,44229000,193896000,0.185738583,0.22810682,low,medium
EITA RESOURCES BERHAD,5208, Main Market,Industrial Products & Services ,11.27,12,0.0515,7,Neutral,Neutral,176.8,low,85527000,2357000,83170000,0.027558549,0.028339546,low,low
EKA NOODLES BERHAD,7182, Main Market,Consumer Products & Services ,-1.25,-6,0,0,Neutral,Overbought,21.8,high,57503039,88172092,-30669053,1.533346646,-2.874953198,medium,high
EKOVEST BERHAD,8877, Main Market,Construction ,5.03,12,0.0171,1,Neutral,Neutral,1251.5,low,,,,,,,low
EKSONS CORPORATION BERHAD,9016, Main Market,Industrial Products & Services ,-6.09,-13,0.061,5,Neutral,Neutral,134.7,high,,,,,,,high
EMICO HOLDINGS BERHAD,9091, Main Market,Consumer Products & Services ,-1.1,-16,0,0,Neutral,Neutral,17.2,high,,,,,,,high
ENCORP BERHAD,6076, Main Market,Property ,-0.71,-54,0,0,Neutral,Neutral,113.2,high,,,,,,,high
ENG KAH CORPORATION BERHAD,7149, Main Market,Consumer Products & Services ,9.22,11,0.0286,3,Neutral,Neutral,74.3,low,,,,,,,low
ENGTEX GROUP BERHAD,5056, Main Market,Industrial Products & Services ,2.75,29,0,0,Neutral,Oversold,350.2,medium,,,,,,,medium
EONMETALL GROUP BERHAD,7217, Main Market,Industrial Products & Services ,1.65,24,0,0,Neutral,Oversold,73.4,medium,,,,,,,medium
EP MANUFACTURING BHD,7773, Main Market,Industrial Products & Services ,-7.17,-6,0,0,Neutral,Neutral,66.4,high,275260000,49798000,22546200,0.180912592,2.208709228,medium,high
ESTHETICS INTERNATIONAL GROUP BERHAD,5081, Main Market,Consumer Products & Services ,3.59,18,0.0458,3,Neutral,Overbought,155.4,low,,,,,,,low
EURO HOLDINGS BERHAD,7208, Main Market,Consumer Products & Services ,-1.58,-9,0,0,Neutral,Neutral,36.1,high,54527000,1493000,53034000,0.027380931,0.028151752,low,medium
EVERGREEN FIBREBOARD BERHAD,5101, Main Market,Industrial Products & Services ,1.9,20,0,0,Neutral,Neutral,317.4,medium,,,,,,,medium
EVERSAFE RUBBER BERHAD,190, Ace Market,Industrial Products & Services ,0.35,62,0.0818,1.8,Neutral,Neutral,52.9,medium,,,,,,,medium
EVERSENDAI CORPORATION BERHAD,5205, Main Market,Construction ,8.97,7,0,0,Neutral,Neutral,468.7,medium,1260940000,282003000,978937000,0.223645058,0.288070632,low,medium
EWEIN BERHAD,7249, Main Market,Property ,13.93,4,0,0,Neutral,Oversold,185.5,medium,439251957,202054710,237197247,0.45999729,0.85184256,low,medium
EXCEL FORCE MSC BERHAD,65, Main Market,Technology ,1.6,31,0.0306,1.5,Neutral,Neutral,203.1,medium,58029268,10728336,47300932,0.184878017,0.226810246,low,medium
FACB INDUSTRIES INCORPORATED BERHAD,2984, Main Market,Industrial Products & Services ,-0.76,-174,0,0,Neutral,Overbought,111.6,high,,,,,,,high
FAVELLE FAVCO BERHAD,7229, Main Market,Industrial Products & Services ,28.91,10,0,0,Overbought,Overbought,626.6,medium,288742000,32017000,256725000,0.110884457,0.124713215,low,medium
FCW HOLDINGS BERHAD,2755, Main Market,Consumer Products & Services ,0.02,4322,0.098,10,Overbought,Overbought,255,medium,,,,,,,medium
FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605, Main Market,Consumer Products & Services ,5.47,7,0,0,Neutral,Neutral,44.1,medium,,,,,,,medium
FGV HOLDINGS BERHAD,5222, Main Market,Plantation ,-29.6,-4,0,0,Neutral,Neutral,4231.9,high,,,,,,,high
FIAMMA HOLDINGS BERHAD,6939, Main Market,Consumer Products & Services ,6.32,8,0.0433,2.25,Neutral,Neutral,275.6,medium,296265000,13547000,282718000,0.045725955,0.047917006,low,medium
FINTEC GLOBAL BERHAD,150, Ace Market,Trad/Serv ,-10.32,0,0,0,Neutral,Oversold,30.5,high,,,,,,,high
FITTERS DIVERSIFIED BERHAD,9318, Main Market,Industrial Products & Services ,3.22,16,0,0,Neutral,Neutral,247.5,medium,,,,,,,medium
FOCUS DYNAMICS GROUP BERHAD,116, Ace Market,Consumer Products & Services ,-0.16,-84,0,0,Neutral,Neutral,275.7,high,,,,,,,high
FOCUS LUMBER BERHAD,5197, Main Market,Industrial Products & Services ,26.92,6,0.0838,14,Neutral,Oversold,176.3,medium,,,,,,,medium
FOCUS POINT HOLDINGS BERHAD,157, Ace Market,Consumer Products & Services ,4.3,9,0.025,1,Overbought,Overbought,66,medium,,,,,,,medium
FSBM HOLDINGS BERHAD,9377, Main Market,Technology ,-0.39,-25,0,0,Oversold,Oversold,13.4,high,,,,,,,high
G3 GLOBAL BERHAD,7184, Main Market,Consumer Products & Services ,-4.15,-19,0,0,Neutral,Neutral,317.6,high,,,,,,,high
GABUNGAN AQRS BERHAD,5226, Main Market,Construction ,12.85,9,0.0387,4.72,Overbought,Overbought,603.4,low,423713416,100242103,323471313,0.23657996,0.309894878,low,low
GAGASAN NADI CERGAS BERHAD,206, Ace Market,Construction ,4.05,7,0,0,Neutral,Neutral,199.5,medium,99045000,4856000,94189000,0.049028219,0.051555914,low,medium
GAMUDA BERHAD,5398, Main Market,Construction ,18.02,16,0.0418,12,Neutral,Neutral,7083.7,low,16839207000,8887681000,7951526000,0.527796885,1.117732747,medium,medium
GAMUDA BERHAD,5398, Main Market,Construction ,18.02,16,0.0418,12,Neutral,Neutral,7083.7,low,16839207000,8887681000,7951526000,0.527796885,1.117732747,medium,medium
GAMUDA BERHAD,5398, Main Market,Construction ,18.02,16,0.0417,12,Neutral,Neutral,7108.3,low,16839207000,8887681000,7951526000,0.527796885,1.117732747,medium,medium
GAMUDA BERHAD,5398, Main Market,Construction ,18.02,16,0.0417,12,Neutral,Neutral,7108.3,low,16839207000,8887681000,7951526000,0.527796885,1.117732747,medium,medium
GD EXPRESS CARRIER BERHAD,78, Main Market,Transportation & Logistics ,0.47,74,0.0055,0.19,Neutral,Neutral,1946.3,low,,,,,,,low
GENETEC TECHNOLOGY BERHAD,104, Ace Market,Technology ,21.8,8,0.0282,5,Neutral,Oversold,74.6,medium,,,,,,,medium
GENTING BERHAD,3182, Main Market,Consumer Products & Services ,35.22,20,0.022,15.5,Neutral,Oversold,27332.1,low,17109000000,3862700000,13246300000,0.225770063,0.291605958,low,low
GENTING MALAYSIA BERHAD,4715, Main Market,Consumer Products & Services ,-0.33,-1043,0.0407,14,Neutral,Neutral,20426.9,medium,27877200000,10300100000,17577100000,0.369481153,0.585995414,low,medium
GENTING PLANTATIONS BERHAD,2291, Main Market,Plantation ,20.4,51,0.0046,4.75,Neutral,Neutral,8404.7,low,6068586000,1228573000,4840013000,0.202447984,0.253836715,low,low
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,15.08,8,0.0605,6.9,Neutral,Neutral,642.1,low,,,,,,,low
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,15.08,8,0.0605,6.9,Neutral,Neutral,642.1,low,,,,,,,low
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,15.08,8,0.0605,6.9,Neutral,Neutral,642.1,low,,,,,,,low
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,15.08,8,0.0605,6.9,Neutral,Neutral,642.1,low,,,,,,,low
GE-SHEN CORPORATION BERHAD,7197, Main Market,Industrial Products & Services ,5.62,11,0,0,Neutral,Oversold,50.4,medium,,,,,,,medium
GETS GLOBAL BERHAD,5079, Main Market,Consumer Products & Services ,-3.28,-4,0,0,Neutral,Oversold,15.1,high,,,,,,,high
GFM SERVICES BERHAD,39, Ace Market,Industrial Products & Services ,1.62,31,0,0,Neutral,Neutral,233.1,medium,,,,,,,medium
GHL SYSTEMS BERHAD,21, Main Market,Technology ,3.33,50,0,0,Neutral,Oversold,1217.7,low,,,,,,,low
GLOBAL ORIENTAL BERHAD,1147, Main Market,Property ,-23.11,-1,0,0,Neutral,Neutral,84.1,high,,,,,,,high
GLOBALTEC FORMATION BERHAD,5220, Main Market,Industrial Products & Services ,1.32,36,0,0,Neutral,Neutral,126.5,medium,,,,,,,medium
GLOBETRONICS TECHNOLOGY BERHAD,7022, Main Market,Technology ,10.48,18,0.0383,7.28,Neutral,Oversold,1271.3,low,197740000,807000,196933000,0.004081117,0.00409784,low,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Oversold,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Oversold,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Oversold,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Oversold,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0408,1.49,Neutral,Neutral,292,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0403,1.49,Neutral,Neutral,296,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0403,1.49,Neutral,Neutral,296,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0403,1.49,Neutral,Neutral,296,low,,,,,,,low
GLOMAC BERHAD,5020, Main Market,Property ,3.32,11,0.0403,1.49,Neutral,Neutral,296,low,,,,,,,low
GOLDEN LAND BERHAD,7382, Main Market,Plantation ,-11.26,-4,0,0,Neutral,Neutral,88,high,,,,,,,high
GOLDEN PHAROS BERHAD,5649, Main Market,Industrial Products & Services ,0.38,54,0,0,Neutral,Neutral,27.8,medium,,,,,,,medium
GOODWAY INTEGRATED INDUSTRIES BERHAD,7192, Main Market,Industrial Products & Services ,-2.83,-8,0,0,Neutral,Overbought,24.3,high,158443819,113847841,44595978,0.718537597,2.552872391,medium,high
GPA HOLDINGS BERHAD,7096, Main Market,Industrial Products & Services ,0.04,274,0,0,Overbought,Overbought,112.8,medium,,,,,,,medium
GRAND CENTRAL ENTERPRISES BHD,5592, Main Market,Consumer Products & Services ,-2.72,-17,0,0,Neutral,Neutral,90.6,high,214635421,16170531,198464890,0.075339527,0.081478044,low,medium
GRAND HOOVER BERHAD,7010, Main Market,Property ,-4.34,-14,0,0,Neutral,Neutral,24,high,,,,,,,high
GRAND-FLO BERHAD,56, Main Market,Technology ,1.13,18,0,0,Neutral,Neutral,99,medium,,,,,,,medium
GREEN PACKET BERHAD,82, Main Market,Telecommunications & Media ,-7.31,-4,0,0,Neutral,Oversold,286.3,high,,,,,,,high
GREENYIELD BERHAD,136, Main Market,Consumer Products & Services ,0.2,65,0,0,Neutral,Neutral,43.4,medium,41846547,4966475,36880072,0.11868303,0.134665545,low,medium
GREENYIELD BERHAD,136, Main Market,Consumer Products & Services ,0.2,65,0,0,Neutral,Neutral,43.4,medium,41846547,4966475,36880072,0.11868303,0.134665545,low,medium
GREENYIELD BERHAD,136, Main Market,Consumer Products & Services ,0.2,63,0,0,Neutral,Oversold,41.7,medium,41846547,4966475,36880072,0.11868303,0.134665545,low,medium
GREENYIELD BERHAD,136, Main Market,Consumer Products & Services ,0.2,63,0,0,Neutral,Oversold,41.7,medium,41846547,4966475,36880072,0.11868303,0.134665545,low,medium
GROMUTUAL BERHAD,9962, Main Market,Property ,1.59,19,0.0169,0.5,Neutral,Neutral,110.8,medium,,,,,,,medium
GSB GROUP BERHAD,7077, Main Market,Property ,-0.52,-36,0,0,Neutral,Neutral,105,high,,,,,,,high
GUH HOLDINGS BERHAD,3247, Main Market,Industrial Products & Services ,-0.96,-53,0,0,Neutral,Neutral,141.7,high,,,,,,,high
GUNUNG CAPITAL BERHAD,7676, Main Market,Transportation & Logistics ,-0.09,-320,0,0,Neutral,Oversold,68.5,high,,,,,,,high
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0562,14.56,Oversold,Oversold,777.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0562,14.56,Oversold,Oversold,777.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0562,14.56,Oversold,Oversold,777.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0588,15,Oversold,Oversold,765.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0588,15,Oversold,Oversold,765.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0588,15,Oversold,Oversold,765.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0591,15,Oversold,Oversold,762.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0591,15,Oversold,Oversold,762.8,low,,,,,,,low
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,17.87,14,0.0591,15,Oversold,Oversold,762.8,low,,,,,,,low
HALEX HOLDINGS BERHAD,5151, Main Market,Industrial Products & Services ,-10.5,-7,0,0,Neutral,Oversold,79.5,high,,,,,,,high
HAP SENG CONSOLIDATED BERHAD,3034, Main Market,Industrial Products & Services ,46.01,21,0.0356,35,Neutral,Neutral,24448.7,low,,,,,,,low
HAP SENG PLANTATIONS HOLDINGS BERHAD,5138, Main Market,Plantation ,3.64,51,0.0134,2.5,Neutral,Oversold,1496,low,,,,,,,low
HARBOUR-LINK GROUP BERHAD,2062, Main Market,Transportation & Logistics ,9.18,7,0.0148,1,Neutral,Neutral,270.3,medium,,,,,,,medium
HARN LEN CORPORATION BHD,7501, Main Market,Plantation ,-11.41,-6,0,0,Neutral,Overbought,120.6,high,391971749,165063896,226907853,0.421111716,0.727449023,low,medium
HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008, Main Market,Consumer Products & Services ,32.81,12,0,0,Neutral,Neutral,260.9,medium,,,,,,,medium
HB GLOBAL LIMITED,5187, Main Market,Consumer Products & Services ,2.37,5,0,0,Overbought,Neutral,53.8,medium,172816000,39620000,133196000,0.22926118,0.29745638,low,medium
HCK CAPITAL GROUP BERHAD,7105, Main Market,Property ,1.58,79,0,0,Neutral,Neutral,522.6,medium,162266000,253000,162013000,0.001559168,0.001561603,low,medium
HEITECH PADU BERHAD,5028, Main Market,Technology ,-28.82,-3,0,0,Neutral,Neutral,73.9,high,321730000,229794000,91936000,0.714244864,2.499499652,medium,high
HEKTAR REAL ESTATE INVESTMENT TRUST,5121, Main Market,Real Estate Investment Trusts ,7.17,16,0.0777,9.01,Neutral,Overbought,535.9,low,1268272805,632957258,635315547,0.499070275,0.996288004,low,low
HENG HUAT RESOURCES GROUP BERHAD,175, Ace Market,Industrial Products & Services ,-1.03,-12,0,0,Neutral,Oversold,40.7,high,,,,,,,high
HENGYUAN REFINING COMPANY BERHAD,4324, Main Market,Energy ,10.28,60,0,0,Overbought,Neutral,1848,low,,,,,,,low
