Date,name,code,Sector_main,sector,price,volume,EMA10,ADX,ATR,MACD,MACDsignal,ClgtEMA10,MACDSIGgtMACD,RSI,EPS,P/E,DY,DPS,Market_Cap (M),debt_ratio,debt-equity_ratio,polarity,risk,target
4/12/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,217.0,0.5193502304385992,16.097774576064655,0.007008387270379425,-0.001484630574072776,-0.0007066019017960803,1,1,46.766468042393775,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/22/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,2305.0,0.5202852852884127,16.025156807590076,0.007207453894973626,-0.000772343997392122,-0.0011172520689780047,1,-1,54.87443563344713,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/22/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,2305.0,0.5202852852884127,16.025156807590076,0.007207453894973626,-0.000772343997392122,-0.0011172520689780047,1,-1,54.87443563344713,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/22/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,2305.0,0.5202852852884127,16.025156807590076,0.007207453894973626,-0.000772343997392122,-0.0011172520689780047,1,-1,54.87443563344713,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/22/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,2305.0,0.5202852852884127,16.025156807590076,0.007207453894973626,-0.000772343997392122,-0.0011172520689780047,1,-1,54.87443563344713,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/23/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,42.0,0.520233415235974,16.784313801735035,0.007406921473904082,-0.000748551365657435,-0.0010435119283138908,-1,-1,48.13514360679442,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/23/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,42.0,0.520233415235974,16.784313801735035,0.007406921473904082,-0.000748551365657435,-0.0010435119283138908,-1,-1,48.13514360679442,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/23/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,42.0,0.520233415235974,16.784313801735035,0.007406921473904082,-0.000748551365657435,-0.0010435119283138908,-1,-1,48.13514360679442,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/23/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,42.0,0.520233415235974,16.784313801735035,0.007406921473904082,-0.000748551365657435,-0.0010435119283138908,-1,-1,48.13514360679442,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/24/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,1087.0,0.5220091579203424,18.278918472338805,0.007592141368625219,7.634088274621753e-05,-0.0008195413661018691,1,-1,54.1935145840541,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/24/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,1087.0,0.5220091579203424,18.278918472338805,0.007592141368625219,7.634088274621753e-05,-0.0008195413661018691,1,-1,54.1935145840541,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/24/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,1087.0,0.5220091579203424,18.278918472338805,0.007592141368625219,7.634088274621753e-05,-0.0008195413661018691,1,-1,54.1935145840541,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/24/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,1087.0,0.5220091579203424,18.278918472338805,0.007592141368625219,7.634088274621753e-05,-0.0008195413661018691,1,-1,54.1935145840541,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/25/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,420.0,0.5216438564802801,18.928363621710226,0.007764131270866275,-7.596679594323863e-05,-0.0006708264520701431,-1,-1,48.137946060030984,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/25/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,420.0,0.5216438564802801,18.928363621710226,0.007764131270866275,-7.596679594323863e-05,-0.0006708264520701431,-1,-1,48.137946060030984,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/25/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,420.0,0.5216438564802801,18.928363621710226,0.007764131270866275,-7.596679594323863e-05,-0.0006708264520701431,-1,-1,48.137946060030984,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/25/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,420.0,0.5216438564802801,18.928363621710226,0.007764131270866275,-7.596679594323863e-05,-0.0006708264520701431,-1,-1,48.137946060030984,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/26/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,200.0,0.5231631553020474,20.253467937753605,0.007923836180090113,0.0006032903423592861,-0.0004160030931842572,1,-1,53.70844457599746,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/26/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,200.0,0.5231631553020474,20.253467937753605,0.007923836180090113,0.0006032903423592861,-0.0004160030931842572,1,-1,53.70844457599746,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/26/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,200.0,0.5231631553020474,20.253467937753605,0.007923836180090113,0.0006032903423592861,-0.0004160030931842572,1,-1,53.70844457599746,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/26/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.53,200.0,0.5231631553020474,20.253467937753605,0.007923836180090113,0.0006032903423592861,-0.0004160030931842572,1,-1,53.70844457599746,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/11/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.185,3.0,1.1819929647043868,92.48939190229434,0.012629936468758188,0.0043714085600701225,0.004319253292768943,1,-1,100.0,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/12/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.185,0.0,1.1825396983944982,92.81320101916617,0.012997441006704023,0.004349961661458401,0.004325394966506834,1,-1,100.0,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/15/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.185,0.0,1.1829870259591349,93.1138809134043,0.01333869522051087,0.004283586323099442,0.004317033237825356,1,1,100.0,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/17/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.185,0.0,1.1833530212392922,93.3930836723397,0.013655574133331513,0.004182767054321301,0.004290180001124545,1,1,100.0,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/19/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.18,0.0,1.1827433810139663,93.68696045598207,0.013944461695236391,0.003657250338847451,0.0041635940686691264,-1,1,56.17927829858298,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/22/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.18,0.0,1.1822445844659724,93.95984604079285,0.014212714431290923,0.0032038426519223062,0.003971643785319763,-1,1,56.17927829858298,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/23/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.179,10.0,1.1816546600176137,94.21323979811714,0.013268949114770135,0.0027323256020304054,0.0037237801486618913,-1,1,50.99588653367261,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/24/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.179,0.0,1.1811719945598658,94.50662231420881,0.01358438132085798,0.0023317657982457884,0.003445377278578671,-1,1,50.99588653367261,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/25/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.179,0.0,1.180777086458072,94.77904893629395,0.013877282655082408,0.001991364062537082,0.003154574635370353,-1,1,50.99588653367261,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,1
4/26/2019,ABF MALAYSIA BOND INDEX FUND,0800EA,ETF,ETF-Bond,1.18,100.0,1.1806357980111497,95.03201651394441,0.012957476751147943,0.001781746018177932,0.002880008911931869,-1,1,56.059462123291716,4.76,25,0.0392,4.65,1499.5,0.039351588,0.04096357,0.0,low,0
4/11/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.18,366.0,2.1954758817512925,19.159686120262695,0.021437151342107667,-0.02948686158002678,-0.030133684366898648,-1,-1,31.948023110518264,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,0
4/12/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.18,1263.0,2.1926620850692395,18.217110990574056,0.021334497674814264,-0.029006786295175502,-0.02990830475255402,-1,-1,31.948023110518264,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,1
4/15/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.2,344.0,2.193996251420287,17.11047907782851,0.02195346212661323,-0.026704655672626476,-0.02926757493656851,1,-1,41.471876203813416,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,0
4/17/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.18,567.0,2.1914514784347805,16.794975727091533,0.02252821483185516,-0.026192107114531016,-0.02865248137216101,-1,-1,36.04009190855639,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,0
4/19/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.18,5.0,2.189369391446639,16.502008329978626,0.020919056629579793,-0.025492052180244862,-0.028020395533777782,-1,-1,36.04009190855639,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,-0.233333333,medium,0
4/22/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.17,402.0,2.1858476839108865,17.15454166894197,0.020853409727466955,-0.025450789172696275,-0.02750647426156148,-1,-1,33.496063406123326,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,0
