company,code,ta,tl,te,net_o,net_i,net_f
JCY INTERNATIONAL BERHAD,5161,669331000,3457000,665874000,-2229000,38128000,-36067000
KIM TECK CHEONG CONSOLIDATED BERHAD,180,111530168,18383057,93147111,-3410490,-6275249,10930027
KLCC PROP&REITS-STAPLED SEC,5235SS,1977794000,1971494000,6300000,7281000,242997000,-258524000
KPJ HEALTHCARE BHD,5878,1552636000,577138000,975498000,95842000,76340000,-95848000
KUALA LUMPUR KEPONG BHD,2445,9393199000,6607570000,2785629,76922000,634227000,
KUANTAN FLOUR MILLS BHD,8303,,,-25911730,1151736,108190,
KUMPULAN H&L HIGH-TECH BHD,7033,106473038,14374816,92098222,1533592,-1089520,-1828833
KWANTAS CORPORATION BHD,6572,471283000,348000,470935000,23713000,158692000,-208743000
LONDON BISCUITS BHD,7126,720044000,395205000,324839000,-1319000,-54500000,63682000
LOTTE CHEMICAL TITAN HOLDING BERHAD,5284,8819318000,2041000,8817277000,26379000,527343000,-522791000
LPI CAPITAL BHD,8621,4240600000,2083800000,2156800000,221865000,-13000,-253130000
LUXCHEM CORPORATION BHD,5143,169907691,286516,169621175,-347151,11793639,-15923226
MALAKOFF CORPORATION BERHAD,5264,10293596000,1670536000,8623060000,385744000,-32236000,-381885000
MALAYSIA AIRPORTS HOLDINGS BHD,5014,9768420000,3436045000,6332375000,640745000,49250000,-671159000
MALAYAN UNITED INDUSTRIES BHD,3891,1201012000,490162000,710850000,4201000,-2053000,-2000000
MALAYSIAN BULK CARRIERS BHD,5077,607210000,272157000,335053000,-62005000,320142000,-81963000
MAXIS BERHAD,6012,26758224000,1264000,26756960000,269005000,1303142000,-1566290000
MALAYAN BANKING BHD,1155,4.57E+11,3.91E+11,65589267000,14541292000,-6865332000,-7039599000
MCE HOLDINGS BERHAD,7004,91141734,131861,91009873,-638840,669701,
MEDIA PRIMA BHD,4502,1261354000,328734000,932620000,205357000,58082000,-264492000
MELATI EHSAN HOLDINGS BHD,5129,192175498,4726540,187448958,-558703,1001492,-1332418
MENTIGA CORPORATION BHD,5223,122552369,22382362,100170007,9066124,-9126817,-164830
MYETF THOMSON REUTERS ASIA PACIFIC EX-JAPAN ISLAMIC AGRIBUSINESS,0826EA,18497218,76482,18420736,870022,,-1096400
METFSID,0825EA,70988870,146405,70842465,-28577164,,28498800
MALAYSIA MARINE AND HEAVY ENG,5186,1712329000,16328000,1696001000,62824000,-136602000,-11828000
MHC PLANTATIONS BHD,5026,225144701,17423728,207720973,-2891381,8319904,-5825956
MISC BHD,3816,31137794000,31137794000,23657050000,2544019000,-609617000,-2590475000
MKH BERHAD,6114,1120068619,95914871,1024153748,6482768,-49817962,33529160
MRCB-QUILL REIT,5123,2271705292,899415761,1372289531,105733958,-33770977,-124334280
MUI PROPERTIES BHD,3913,330583000,227082000,103501000,-2681000,3598000, -   
MULTI-USAGE HOLDINGS BHD,9539,58170799,5305814,52864985,-1297320,4110561,
MY E.G. SERVICES BHD,138,684764000,126338000,558426000,265911000,-143402000,-122515000
MyETF DJISLAMICMKTMSIATITANS25,0821EA,305932553,255770,305676783,4019529,,-6129552
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,53245915,87570,53158345,-346785,,134518
MYNEWS HOLDINGS BERHAD,5275,208746000,123000,208623000,-1117000,5973000,-6822000
NESTLE (M) BHD,4707,595266000,1772000,593494000,641887000,2988000,-644875000
NEXGRAM HOLDINGS BERHAD,96,240872815,16784401,224088414,-3917699,994,3894242
NOTION VTEC BHD,83,193914000,4304000,189610000,1293000,-44381000,1982000
NWP HOLDINGS BHD,5025,25979943,1956394,24023549,-4502254,741400,3747960
ORION IXL BERHAD,79,95571468,12874540,82696928,-3663104,-74587310,77469480
OSK HOLDINGS BHD,5053,3919469000,885508000,3033961000,-3877000,638386000,-583366000
OSK VENTURES INTERNATIONAL BHD,53,174894917,762721,174132196,13224434,-3361240,-9822254
P.A. RESOURCES BHD,7225,99937004,405057,99531947,-1067829,-36765919,37861266
PACIFIC & ORIENT BHD,6009,376437000,5580000,370857000,-10002000,25579000,-17191000
PAN MALAYSIA CORPORATION BHD,4081,275210000,74586000,200624000,-711000,18025000, -   
PAN MALAYSIA HOLDINGS BHD,1287,58541000,51000,58490000,-23000,332000,-462000
PAVILION REAL ESTATE INV TRUST,5212,6357724000,2379768000,3977956000,276359000,-517026000,326020000
PELANGI PUBLISHING GROUP BHD,7190,58755964,517782,58238182,-468562,3348114,-2306354
PETROL ONE RESOURCES BERHAD,7027,72022578,7617959,64404619,-365349,3677003,-3259360
PETRONAS CHEMICALS GROUP BERHAD ,5183,33272000000,2798000000,30474000000,-117000000,5239000000,-2320000000
PETRONAS DAGANGAN BHD,5681,9170785000,3233545000,5937240000,81804000,-291481000,-959826000
PETRONAS GAS BERHAD ,6033,18423984000,5075593000,13348391000,3311229000,-847139000,-1346652000
PHARMANIAGA BHD,7081,690514000,238809000,451705000,-16910000,-22890000,39959000
PINEHILL PACIFIC BERHAD,1902,68643926,39455773,29188153,-327015,-6472,331630
PLB ENGINEERING BHD,7055,191033247,36030764,155002483,4113322,-20832028,16711715
POH HUAT RESOURCES HOLDINGS,7088,173095577,4491898,168603679,15410339,4189323,-12539987
POH KONG HOLDINGS BHD,5080,802789499,279446457,802789499,-3993238,63611673,-58519423
PRICEWORTH INTERNATIONAL BHD,7123,425259940,99781759,327478181,17560445,,-17536782
PROLEXUS BHD,8966,148900000,22413000,126487000,287000,1515000,-25106000
PUBLIC BANK BHD,1295,3.32E+11,2.97E+11,35279804000,9837708000,-5273771000,-1532235000
RANHILL HOLDINGS BERHAD,5272,1311262000,16954000,1294308000,10100000,61225000,-71189000
RHB BANK BERHAD,1066,1.81E+11,1.62E+11,19302778000,4084433000,-2118341000,-712603000
SAUDEE GROUP BERHAD,5157,65807085,4233074,61574011,-652356,763,687049
SCH GROUP BERHAD,161,116718872,43415744,73303128,572709,-68254811,66788870
SCIENTEX BERHAD,4731,529068000,33776000,495292000,-1375000,39410000,-35493000
SELANGOR PROPERTIES BHD,1783,1156692000,1060982000,95710000,-51060000,65162000,-7652000
SENTORIA GROUP BERHAD,5213,504472000,194674000,309798000,-2708000,-101619000,95897000
SHIN YANG SHIPPING CORP BHD,5173,1244425026,24056198,1220368828,-1866308,877794,-21522147
SILVER RIDGE HOLDINGS BHD,129,15623757,4153979,11469778,130057,-153404,143560
SIME DARBY BHD,4197,9791000000,6000000,9785000000,,,
SIME DARBY PROPERTY BERHAD,5288,9832452000,1018756000,8813696000,171455000,428060000,-514146000
SMTRACK BERHAD,169,14454776,1756173,12698603,-8072223,-15333,8100923
STERLING PROGRESS BERHAD,140,54022000,6556000,47466000,-1702000,-7398000,6300000
STONE MASTER CORPORATION BHD,7143,5538000,21050000,-15512000,-797000,212000,-1018000
SUBUR TIASA HOLDINGS BHD,6904,964299000,317624000,646675000,-103992000,67399000,26736
SUNSURIA BERHAD,3743,726227000,125495000,600732000,-15697000,-21867000,16365000
SWS CAPITAL BERHAD,7186,73197452,104865,73092587,-953864,-302375,
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,6139,7117888000,6184871000,933017000,317887000,-286587000,-123472000
SYF RESOURCES BHD,7082,183269000,5006000,178263000,1508000,10093000,-11241000
TASEK CORPORATION BHD,4448,523949000,60766000,463183000,-21624000,17124000,-24316000
TENAGA NASIONAL BHD,5347,1.25E+11,73411400000,51730100000,10551200000,-7953200000,260700000
TEXCHEM RESOURCES BHD,8702,446577000,27193000,419384000,-7021000,-3378000,861000
TFP SOLUTIONS BHD,145,24313000,13897000,10416000,-1149000,418000, -   
TIEN WAH PRESS HOLDINGS BHD,7374,236370000,23186000,213184000,25282000,-23366000,23077000
TITIJAYA LAND BERHAD,5239,1028116461,99654692,928461769,299525469,-668784681,358419620
TMC LIFE SCIENCES BHD,101,678488000,2114000,676374000,-7434000,21529000,-2717000
TOP GLOVE CORPORATION BHD,7113,1022196000,1509000,1020687000,-7445000,191285000,-184173000
TRADEPLUS SHARIAH GOLD TRACKER,0828EA,10364135,11803,10352332,-10541289,,10563600
TRIVE PROPERTY GROUP BERHAD,118,43198782,133658,43065124,-7029371,-2976845,25072332
UMS HOLDINGS BHD,7137,53706580,1071500,52635080,-528823,4545337,-3719000
UNISEM (M) BHD,5005,1163275000,118750000,1044525000,237047000,-165726000,-75525000
UNITED PLANTATIONS BHD,2089,2226722000,235675000,1991047000,317403000,-54552000,-304314000
UOA REITS,5110,1052883303,324768352,728114951,43598387,118516709,-161600397
V.S. INDUSTRY BERHAD,6963,1255474000,576459000,679015000,-54788000,-123233000,200191000
VISDYNAMICS HOLDINGS BHD,120,20225351,1434295,18821056,1656527,95135,-1285017
VSOLAR GROUP BERHAD,66,19097951,235508,18862443,-2744238,-259812,-494444
WELLCALL HOLDINGS BHD,7231,79150266,98783,79051483,29435252,,-27885070
WESTPORTS HOLDINGS BERHAD,5246,1045587000,101000,1045486000,-2645000,457376000,-455235000
WILLOWGLEN MSC BHD,8,56977000,512000,56465000,-6746000,14925000,-4900000
WONG ENGINEERING CORPORATION,7050,64009553,1101048,62908505,3990066,-1361612,-3043667
WZ SATU BERHAD,7245,212998000,2099000,210899000,2737000,-26359000,-7125000
YFG BERHAD,7122,2995700,21857113,-18861413,3013073,-2372773,-436892
ZHULIAN CORPORATION BHD,5131,249821000,252000,249569000,48446000,3677000,-414000000
HIL INDUSTRIES BHD,8443,286933346,36363278,250570068,-14181751,1026162,-6156457
