extracted_code,extracted_date,news
0018,2019-03-22,"Vsolar, YGL, Hibiscus, Lambo, Progressive Impact"
0018,2019-03-14,LAMBO 2送1凭单
0020,2019-03-19,Fintec Global takes control of Zouk Club KL in RM29m deal
0020,2019-04-18,大众银行明讯走低 拖累马股挫0.59%
0020,2019-04-18,"KLCI falls 0.59% as Public Bank, Maxis weigh"
0020,2019-04-25,"NetX, Nestlé, Petronas Dagangan, Alam Maritim, Dutch Lady, Takaful Malaysia, Vitrox, Atlan and Tropicana"
0020,2019-04-25,"etX, BuyTicket to develop enhanced event ticketing platform"
0020,2019-04-27,与网络售票平台合作·NETX进行科技转移
0020,2019-04-25,NetX inks deal for online ticketing technology
0021,2019-03-28,GHL Systems up 1.79% on landing RM25m govt job
0021,2019-03-28,获2500万政府项目 GHL系统涨1.79%
0021,2019-03-29,"GHL系统获2503万合约
助落实RON95汽油补贴"
0021,2019-03-27,No cash no problem
0021,2019-03-27,GHL bags RM25m project for RON95 subsidy programme
0021,2019-03-27,GHL获2503万RON95补贴计划项目
0021,2019-03-28,"Trading ideas: Yinson, GHL, GDB, SCGM, Gamuda"
0021,2019-03-28,GHL bags petrol subsidy contract
0021,2019-03-28,"Gamuda, Yinson, GHL, GDB, Eco World Development, SCGM and Stone Master"
0021,2019-03-28,Quick take: Contract win sends GHL shares up 3%
0023,2019-03-11,担忧全球经济各疲软‧马股开盘走低
0023,2019-03-11,区域股市步履蹒跚 马股跌0.53%
0023,2019-03-11,KLCI pulls back 0.37% in line with regional retreat
0023,2019-02-25,Stock With Momentum: IFCA MSC
0023,2019-02-28,IHH医保与兴业表现优良·马股稍涨
0023,2019-02-28,Quick take: IFCA rallies 19% on higher earnings
0023,2019-02-28,"IFCAMSC, MBMR, Peterlabs, PCCS, THHeavy"
0023,2019-03-01,"TNB, CIMB and Genting lead KLCI below 1,700"
0023,2019-03-01,"KLCI falls 0.53%, remains below 1,700 level as heavyweights drag"
0023,2019-03-01,重量级股拖累 马股跌0.53%
0023,2019-03-01,"IFCAMSC, MAA, Penergy, YOCB, GDEx, Mikromb, KAB, Naim, BPPlas"
0023,2019-03-04,"KLCI pares loss, remains below 1,700"
0023,2019-03-04,马股跌幅收窄 仍低于1700点
0023,2019-03-05,"KLCI remains below 1,700 level on lack of fresh catalysts"
0023,2019-03-05,缺乏新催化剂 马股仍低于1700点
0023,2019-03-11,区域股市回落 马股微跌0.37%
0023,2019-03-11,"KLCI struggles in line with region, falls 0.53%"
0023,2019-03-14,"KKB, IFCAMSC, Zelan, Huaan, Plenitude, Hockheng, Turbo, Scable, Dsonic, BAuto, Reach, Carimin, MTDACPI, MCEHldg, BIG, Zecon, Scomi, THHeavy, Destini, NiHsin, Handal"
0023,2019-04-15,IFCA banks on SME market growth to outdo FY18’s performance
0023,2019-04-15,"KLCI rises 0.38% on revived ECRL news, firmer regional markets"
0023,2019-04-15,亚股走强ERCL复苏 提振马股扬0.38%
0024,2019-03-20,吉打概念股冲高·马股半天跌6.42点
0024,2019-04-02,Ex-finance minister II Johari is now KUB chairman
0024,2019-03-20,铝土矿开采协议带动 JAG受追捧
0024,2019-03-20,KLCI falls 0.38% as regional sentiment turns negative
0024,2019-04-02,"KUB Malaysia active, up 7.41% after Johari made non-exec chairman"
0024,2019-04-01,统一合作社 调任佐哈里为非执行主席
0024,2019-04-01,Ex-finance minister II Johari redesignated as KUB chairman
0024,2019-04-02,"KUB, Wah Seong, Alam Maritim, Coastal Contracts, Scientex, Daibochi, SunCon and Yinson"
0024,2019-04-01,前第二财长佐哈里 任大马统一合作主席
0024,2019-04-02,佐哈里担任非执行主席 刺激KUB涨7.41%
0024,2019-04-01,前第二财长佐哈里被调任为KUB主席
0024,2019-03-04,迎新大股東　大馬統一股價飆
0024,2019-03-26,"Insider Moves: Marco Holdings Bhd, AmFirst REIT, Berjaya Corp Bhd, ConnectCounty Holdings Bhd, KUB Malaysia Bhd, Berjaya Land Bhd"
0024,2019-03-21,"Off-Market Trades: KUB Malaysia Bhd, APFT Bhd, Merge Energy Bhd, Rex Industry Bhd"
0024,2019-03-21,银行股及顶级手套拖累 马股下滑1.05%
0024,2019-03-21,"KLCI loses 1.05% as banks, Top Glove drag"
0024,2019-03-21,动能指标依然疲弱 马股抹去涨幅
0024,2019-03-21,KLCI erases earlier gains as momentum indicators remain sluggish
0024,2019-03-20,吉打概念股大热·马股全天走低
0024,2019-03-20,区域情绪转淡 马股下跌0.38%
0024,2019-03-20,"Investors cash in on stocks, ringgit unmoved ahead of FOMC results"
0024,2019-03-20,"Trading ideas: Salcon, T7 Global, Uzma, LKL International, JAG, Glomac"
0024,2019-04-04,KLCI stays in red as Genting-linked stocks weigh
0024,2019-04-04,受累于云顶相关股 马股处于跌势
0024,2019-03-20,"Quick take: JAG attracts trading interest, jumps 20%"
0024,2019-03-20,JAG in MoU for bauxite mining
0024,2019-03-20,KLCI down 0.32% on sustained profit-taking
0024,2019-03-20,持续遭套利 马股跌0.32%
0024,2019-03-20,JAG联营开采铝土矿
0024,2019-03-20,JAG up on bauxite mining deal
0024,2019-03-20,"Salcon, T7 Global, Uzma, LKL International, JAG, Green Packet, MRCB, Scientex and Glomac"
0024,2019-03-04,持股32% JAG Capital成为KUB最大股东
0024,2019-03-04,JAG Capital emerges as largest shareholder in KUB with 32% stake
0024,2019-03-04,KUB sees entry of new substantial shareholder JAG Capital with 31.99% stake
0024,2019-03-04,Quick Take: JAG Capital pays large premium for 32% KUB stake
0024,2019-03-04,溢价72%入股‧大马统一最大股东换人
0024,2019-03-05,JAG Capital now the largest shareholder of KUB
0024,2019-03-05,"Top Glove, KUB Malaysia, DNeX, Hibiscus Petroleum, Censof, Uni Wall, Harn Len, Sunway, Cahya Mata Sarawak, Aturmaju and MCT"
0024,2019-03-05,"JAG资本高价购31.99%
晋大马统一合作大股东"
0024,2019-03-05,Johari emerges as major shareholder in KUB
0024,2019-03-08,佐哈里重返合成董事局
0024,2019-03-09,True equality?
0026,2019-04-11,配股获股东放行·荣腾拓展AI自动化
0026,2019-04-11,Nova MSC aims to speed up market expansion
0026,2019-04-10,Nova MSC gets nod for latest fundraising exercise to speed up market expansion
0028,2019-04-09,Shell aims to cut carbon footprint
0028,2019-04-03,"Scope, PeterLabs, Lafarge, Sealink, PLS"
0028,2019-03-20,"Scope, Kian Joo, South Malaysia Industries, HB Global, Bina Darulaman, Jaycorp, Public Packages, Federal"
0028,2019-03-12,"Danco, DBhd, Fajar, Kian Joo, PCCS, Perdana, Scope, Unimech, Velesto"
0028,2019-03-11,"Alam Maritim, GPA, Masteel, PCCS, Prestar, Scope, VSolar, WTK"
0028,2019-03-07,"Carbon risk not accurately measured in portfolios, says Morningstar"
0032,2019-03-20,MTNS业绩标青·立通国际第三季净利翻7倍
0032,2019-03-13,"AWC, Gadang, Halex, Ho Hup, Jerasia, PCCS, Perdana, Prestariang, Redtone, Salcon, Sapura, SKB, TAS, TRC, Turbo, WCEHB"
0032,2019-03-20,"KLCI in the red, Asian markets fall after weak Wall St opening"
0032,2019-03-21,立通第三季净利翻7倍
0032,2019-04-01,"Gets Global, Redtone, KTB, Tasco, Sealink, Ho Hup, Sycal"
0032,2019-04-17,"Karex, Redtone, Eduspec, NWP, GPA"
0032,2019-04-19,"Benalec, DWL, Redtone, Success, Ekovest"
0034,2019-04-18,"Off-Market Trades: Parkson Holdings Bhd, AppAsia Bhd, Pegasus Heights Bhd, MSCM Holdings Bhd, Straits Inter Logistics Bhd"
0034,2019-04-11,"Off-Market Trades: MSCM Holdings Bhd, Straits Inter Logistics Bhd, JMR Conglomeration Bhd, Eco World Development Group Bhd"
0034,2019-04-25,"Off-Market Trades: MQ Technology Bhd, Kuantan Flour Mills Bhd, Sino Hua-An International Bhd, G3 Global Bhd, Green Packet Bhd, MSCM Bhd"
0035,2019-03-29,OPCOM挑战72仙/敏源
0035,2019-04-02,"Possible for further upside for Opcom, says PublicInvest Research"
0037,2019-02-27,KLCI down 0.36% as blue chips drag
0037,2019-02-27,蓝筹股下跌 拖累马股挫0.36%
0037,2019-04-15,RGB to grow gaming concession business
0037,2019-03-11,Cover Story: Brighter outlook for small caps?
0037,2019-04-29,Penang manufacturers feel the heat
0039,2019-04-13,GFM服务拟派息1.1043仙
0039,2019-04-08,"GFM, Hektar REIT, Talamt, Ann Joo, DPS, Hok Heng, Pentamaster, Pesona Metro, Perak Corp, SMTrack, Success Transformer, Sycal"
0039,2019-04-08,"GRM, Hektar REIT, Talamt, Ann Joo, DPS, Hok Heng, Pentamaster, Pesona Metro, Perak Corp, SMTrack, Success Transformer, Sycal"
0039,2019-04-11,"Focus on O&G, construction sectors, HLIB Research tells retail investors"
0039,2019-04-12,"Sasbadi, GFM, SC Estate, Sedania, QES, NWP, CNI, Prestar"
0041,2019-03-08,PANPAGES易名MSCM
0043,2019-03-19,投资者购兴缺缺‧马股全天最低挂收
0043,2019-03-21,Quick take: Metronic falls 5% in active trade
0043,2019-03-21,去年12月来最低·马股泻20.55
0043,2019-03-01,Metronic Global appoints ED Hoo Wai Keong as CEO
0043,2019-03-18,Metronic eyes US$1b worth of 5G technology smart city solution projects
0043,2019-03-18,"TM, Magni-Tech, AMMB, YTL Corp, Barakah, MHB, Kian Joo, Can-One, Scientex, Daibochi, Tasek Corp, BToto, Metronic and Lotte Chemical Titan"
0043,2019-03-18,子公司与中企签备忘录 美全放眼5G精明城计划
0043,2019-03-19,"KLCI seen extending gains, hurdle at 1,700"
0043,2019-03-19,Metronic eyes engineering solutions jobs worth RM4.08bil
0043,2019-04-27,美全股东要求开特大·罢黜3董事委4新董事
0047,2019-02-26,RGT脱离PN17
0047,2019-04-05,Perisai Petroleum given more time to re-submit regularisation plan
0047,2019-04-18,Skrine says debt distress lurks among Malaysia private firms
0049,2019-03-06,Affin Hwang Capital remains positive on a strong recovery in 2019 for Oceancash
0049,2019-03-07,‘Solid recovery prospects for Oceancash’
0049,2019-03-07,"UEM Edgenta, VS Industry, Oceancash, PIE Industrial, all 'buy'"
0049,2019-03-06,Potential strong receovery for Oceancash in 2019
0049,2019-04-12,销售弱· 开销增·元宙3年财测下砍
0049,2019-04-27,元宙445万买泰工业地
0051,2019-03-25,Cuscapi to acquire Singapore-based tech firm for RM7.6m
0053,2019-03-23,Top 40 Richest Malaysians: Part 8
0059,2019-05-01,"F&N, Axiata, Axis REIT, PetGas, Ecobuilt, AWC, Dayang, Avillion, Globetronics, ARB and Brahim's"
0059,2019-04-30,New shareholders emerge in Ecobuilt after takeover of construction firm
0059,2019-04-30,Ecobuilt to acquire Rexallent Construction for RM45 mil
0060,2019-04-15,大马股汇双扬‧富时综指半天起3.20点
0060,2019-04-15,尾市面对套利‧马股全天微起1.16点
0060,2019-04-15,Vortex acquires Valhalla for RM2m to venture into money lending business
0060,2019-04-15,"SMTrack, LPI, Orion IXL, Prestariang, CBIP, Barakah, Vortex, T7 Global and KKB"
0060,2019-03-14,我国资本市场规模3.1兆 总筹资额减至1146亿
0060,2019-04-16,Vortex acquires moneylending licence holder for RM2m
0066,2019-02-28,KLCI drifts lower in line with regional markets
0066,2019-02-28,马股跟随区域股市走低
0066,2019-03-07,"Prestariang, Aturmaju, Datasonic, Hume, Latitude, Nova Pharma, Public Packages, Rex, Sarawak Cable, Scomi Energy, Seremban Engineering, Success Transformer, Teck Guan, Vsolar"
0066,2019-03-22,More LSS projects may be in the offing
0066,2019-04-19,威能测试重负快充器生产设施
