full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
DKLS INDUSTRIES BHD,7528, Main Market,Construction ,1.56,1.86,1.4,29,5.97,0,0,0.4,234.66,1,158.50,Neutral,43.5,Neutral,55
DKSH HOLDINGS (MALAYSIA) BERHAD,5908, Main Market,Consumer Products & Services ,2.14,4.42,7.47,9,28.3,0,0,0.65,3813.22,0,389.40,Neutral,47.7,Oversold,11.1
DOLOMITE CORPORATION BERHAD,5835, Main Market,Industrial Products & Services ,0.1,0.295,-375.82,0,-41.34,0,0,1,23.7,0,31.30,Neutral,44.9,Neutral,40
DOMINANT ENTERPRISE BERHAD,7169, Main Market,Industrial Products & Services ,1.21,1.39,12.41,6,20.48,7,0.0556,0.76,443.34,0,208.20,Neutral,47.7,Neutral,33.3
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.19,0.35,4,34,0.56,0,0,1.36,4.15,5,92.50,Oversold,22.5,Oversold,0
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.185,0.35,4,34,0.56,0,0,1.36,4.15,5,92.50,Oversold,22.5,Oversold,14.3
DPI HOLDINGS BERHAD,205, Ace Market,Consumer Products & Services ,0.185,0.35,4,33,0.56,0,0,1.32,4.15,4,90.00,Oversold,19.9,Oversold,0
DPS RESOURCES BERHAD,7198, Main Market,Property ,0.05,0.1,-5.78,-6,-1.04,0,0,0.36,5.03,1,38.20,Neutral,52.1,Neutral,50
DRB-HICOM BERHAD,1619, Main Market,Consumer Products & Services ,1.6,2.58,-0.23,-236,-0.79,3,0.0161,0.55,624.46,0,3595.80,Neutral,56.7,Neutral,53.3
DUFU TECHNOLOGY CORP. BERHAD,7233, Main Market,Industrial Products & Services ,0.94,4.07,29.41,8,19.7,1.56,0.0096,2.43,91.73,2,429.00,Neutral,43.4,Oversold,12.5
DUTALAND BERHAD,3948, Main Market,Plantation ,0.435,0.65,30,1,46.2,5,0.101,0.32,2.76,18,418.80,Neutral,49.3,Neutral,28.6
DUTCH LADY MILK INDUSTRIES BERHAD,3026, Main Market,Consumer Products & Services ,58.9,76.98,122.58,32,202.26,90,0.0141,38.73,1638.39,4,4089.60,Neutral,58.9,Neutral,52.7
E.A.TECHNIQUE (M) BERHAD,5259, Main Market,Transportation & Logistics ,0.28,0.605,32.73,3,14.73,0,0,0.94,83.13,1,214.20,Neutral,41.5,Neutral,37.9
EA HOLDINGS BERHAD,154, Ace Market,Technology ,0.01,0.045,-2.84,-10,-0.16,0,0,0.27,0.77,2,76.10,Neutral,45.9,Oversold,0
EASTLAND EQUITY BHD,2097, Main Market,Consumer Products & Services ,0.095,0.275,-5.06,-3,-3.59,0,0,0.14,8.67,1,24.60,Neutral,43,Oversold,0
ECO WORLD DEVELOPMENT GROUP BERHAD,8206, Main Market,Property ,0.89,1.45,3.95,16,5.84,0,0,0.63,70.9,1,2738.30,Neutral,49,Neutral,60
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,0.665,1.15,2.94,24,3.09,0,0,0.71,0.2,366,1788.00,Neutral,43.6,Oversold,11.1
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,0.665,1.15,2.94,24,3.09,0,0,0.7,0.2,363,1776.00,Neutral,41.9,Oversold,18.2
ECONPILE HOLDINGS BERHAD,5253, Main Market,Construction ,0.36,1.18,6.85,27,1.78,1,0.0211,1.83,55.76,1,635.30,Neutral,52.1,Neutral,47.2
EDARAN BERHAD,5036, Main Market,Technology ,0.335,0.84,22.33,5,11.66,0,0,1.08,221.83,0,33.90,Neutral,52.5,Neutral,59.1
EDEN INC. BERHAD,7471, Main Market,Utilities ,0.09,0.47,,-6,-2.05,0,0,,15.86,1,46.90,Neutral,53.1,Neutral,75
EDUSPEC HOLDINGS BERHAD,107, Ace Market,Technology ,0.015,0.18,-58.75,-1,-4.23,0,0,0.42,3.57,1,33.10,Neutral,55.6,Neutral,66.7
EFFICIENT E-SOLUTIONS BERHAD,64, Main Market,Industrial Products & Services ,0.17,0.32,-5.63,-17,-1.07,0,0,0.95,0.53,34,127.60,Neutral,48.9,Neutral,33.3
EG INDUSTRIES BERHAD,8907, Main Market,Industrial Products & Services ,0.43,0.64,4.95,8,6.16,0,0,0.37,379.66,0,125.90,Neutral,52.2,Neutral,75
EITA RESOURCES BERHAD,5208, Main Market,Industrial Products & Services ,1.13,1.76,8.94,12,11.27,7,0.0515,1.08,188.38,1,176.80,Neutral,40.4,Neutral,25
EKA NOODLES BERHAD,7182, Main Market,Consumer Products & Services ,0.05,0.085,12.5,-6,-1.25,0,0,-0.7,8.09,1,21.80,Neutral,61,Overbought,100
EKOVEST BERHAD,8877, Main Market,Construction ,0.42,1.04,5.13,12,5.03,1,0.0171,0.6,55.59,1,1251.50,Neutral,59.9,Neutral,57.1
EKSONS CORPORATION BERHAD,9016, Main Market,Industrial Products & Services ,0.675,0.99,-2.24,-13,-6.09,5,0.061,0.3,63.06,1,134.70,Neutral,55.5,Neutral,50
EMICO HOLDINGS BERHAD,9091, Main Market,Consumer Products & Services ,0.15,0.24,-2.5,-16,-1.1,0,0,0.39,55.47,0,17.20,Neutral,47.1,Neutral,30
ENCORP BERHAD,6076, Main Market,Property ,0.345,0.83,-0.53,-54,-0.71,0,0,0.29,87.28,0,113.20,Neutral,43.3,Neutral,47.1
ENG KAH CORPORATION BERHAD,7149, Main Market,Consumer Products & Services ,0.935,1.5,9.04,11,9.22,3,0.0286,1.03,81.72,1,74.30,Neutral,51.7,Neutral,64.3
ENGTEX GROUP BERHAD,5056, Main Market,Industrial Products & Services ,0.77,1.23,1.74,29,2.75,0,0,0.5,272.49,0,350.20,Neutral,36.9,Oversold,19
EONMETALL GROUP BERHAD,7217, Main Market,Industrial Products & Services ,0.37,0.69,1.74,24,1.65,0,0,0.41,61.5,1,73.40,Neutral,36.8,Oversold,17.6
EP MANUFACTURING BHD,7773, Main Market,Industrial Products & Services ,0.365,0.485,-4.1,-6,-7.17,0,0,0.23,284.77,0,66.40,Neutral,46.9,Neutral,63.6
ESTHETICS INTERNATIONAL GROUP BERHAD,5081, Main Market,Consumer Products & Services ,0.54,0.695,4.79,18,3.59,3,0.0458,0.87,71.49,1,155.40,Neutral,58.9,Overbought,88.9
EURO HOLDINGS BERHAD,7208, Main Market,Consumer Products & Services ,0.125,0.365,-5.64,-9,-1.58,0,0,0.48,37.42,0,36.10,Neutral,41.5,Neutral,25
EVERGREEN FIBREBOARD BERHAD,5101, Main Market,Industrial Products & Services ,0.335,0.625,1.36,20,1.9,0,0,0.27,132.52,0,317.40,Neutral,44.8,Neutral,46.2
EVERSAFE RUBBER BERHAD,190, Ace Market,Industrial Products & Services ,0.17,0.375,1.39,62,0.35,1.8,0.0818,0.88,46.66,0,52.90,Neutral,48.9,Neutral,33.3
EVERSENDAI CORPORATION BERHAD,5205, Main Market,Construction ,0.455,1.09,7.35,7,8.97,0,0,0.49,218.38,0,468.70,Neutral,50.7,Neutral,78.9
EWEIN BERHAD,7249, Main Market,Property ,0.305,0.885,18.33,4,13.93,0,0,0.81,67.72,1,185.50,Neutral,46.7,Oversold,16.7
EXCEL FORCE MSC BERHAD,65, Main Market,Technology ,0.335,1.22,14.69,31,1.6,1.5,0.0306,4.5,5.53,9,203.10,Neutral,45.6,Neutral,27.3
FACB INDUSTRIES INCORPORATED BERHAD,2984, Main Market,Industrial Products & Services ,1.05,1.52,-0.29,-174,-0.76,0,0,0.51,44.59,3,111.60,Neutral,63.9,Overbought,84.6
FAVELLE FAVCO BERHAD,7229, Main Market,Industrial Products & Services ,2.2,2.83,9.7,10,28.91,0,0,0.95,239.61,1,626.60,Overbought,83.8,Overbought,100
FCW HOLDINGS BERHAD,2755, Main Market,Consumer Products & Services ,0.73,1.06,0.03,4322,0.02,10,0.098,1.5,11.61,9,255.00,Overbought,85.4,Overbought,87.9
FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605, Main Market,Consumer Products & Services ,0.28,0.485,5.96,7,5.47,0,0,0.44,150.9,0,44.10,Neutral,62.1,Neutral,73.7
FGV HOLDINGS BERHAD,5222, Main Market,Plantation ,0.63,2,-24.26,-4,-29.6,0,0,0.95,369.15,0,4231.90,Neutral,54.2,Neutral,26.7
FIAMMA HOLDINGS BERHAD,6939, Main Market,Consumer Products & Services ,0.43,0.57,6.72,8,6.32,2.25,0.0433,0.55,65.25,1,275.60,Neutral,56.5,Neutral,50
FINTEC GLOBAL BERHAD,150, Ace Market,Trad/Serv ,0.045,0.135,-44.67,0,-10.32,0,0,0.22,4.02,1,30.50,Neutral,40.5,Oversold,0
FITTERS DIVERSIFIED BERHAD,9318, Main Market,Industrial Products & Services ,0.365,0.56,4.01,16,3.22,0,0,0.64,72.99,1,247.50,Neutral,63.6,Neutral,50
FOCUS DYNAMICS GROUP BERHAD,116, Ace Market,Consumer Products & Services ,0.12,0.38,-8.16,-84,-0.16,0,0,6.88,1.18,11,275.70,Neutral,41.9,Neutral,33.3
FOCUS LUMBER BERHAD,5197, Main Market,Industrial Products & Services ,0.98,1.87,15.12,6,26.92,14,0.0838,0.94,192.7,1,176.30,Neutral,45,Oversold,10.5
FOCUS POINT HOLDINGS BERHAD,157, Ace Market,Consumer Products & Services ,0.16,0.445,12.38,9,4.3,1,0.025,1.15,108.65,0,66.00,Overbought,72.8,Overbought,84.2
FSBM HOLDINGS BERHAD,9377, Main Market,Technology ,0.08,0.24,-9.75,-25,-0.39,0,0,2.38,0.76,12,13.40,Oversold,29.2,Oversold,10.7
G3 GLOBAL BERHAD,7184, Main Market,Consumer Products & Services ,0.6,0.95,-33.74,-19,-4.15,0,0,6.26,7.12,11,317.60,Neutral,49.7,Neutral,50
GABUNGAN AQRS BERHAD,5226, Main Market,Construction ,0.615,1.85,13.76,9,12.85,4.72,0.0387,1.31,117.77,1,603.40,Overbought,70.5,Overbought,90.9
GAGASAN NADI CERGAS BERHAD,206, Ace Market,Construction ,0.235,0.4,6.53,7,4.05,0,0,0.43,23.7,1,199.50,Neutral,48.3,Neutral,40
GAMUDA BERHAD,5398, Main Market,Construction ,2,5.24,5.68,16,18.02,12,0.0418,0.91,181.57,2,7083.70,Neutral,51.5,Neutral,52.6
GAMUDA BERHAD,5398, Main Market,Construction ,2,5.24,5.68,16,18.02,12,0.0417,0.91,181.57,2,7108.30,Neutral,50.5,Neutral,47.4
GD EXPRESS CARRIER BERHAD,78, Main Market,Transportation & Logistics ,0.255,0.6,5.22,74,0.47,0.19,0.0055,3.83,5.41,6,1946.30,Neutral,58,Neutral,47.4
GENETEC TECHNOLOGY BERHAD,104, Ace Market,Technology ,1.15,2.05,11.41,8,21.8,5,0.0282,0.93,265.43,1,74.60,Neutral,39.8,Oversold,6.7
GENTING BERHAD,3182, Main Market,Consumer Products & Services ,5.91,9.09,3.96,20,35.22,15.5,0.022,0.79,537.88,1,27332.10,Neutral,47.3,Oversold,0
GENTING MALAYSIA BERHAD,4715, Main Market,Consumer Products & Services ,2.76,5.42,-0.1,-1043,-0.33,14,0.0407,1.07,167.19,2,20426.90,Neutral,56.6,Neutral,38.9
GENTING PLANTATIONS BERHAD,2291, Main Market,Plantation ,9.05,10.78,3.98,51,20.4,4.75,0.0046,2.03,235.46,4,8404.70,Neutral,51.5,Neutral,24
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,0.755,4.31,17.09,8,15.08,6.9,0.0605,1.29,76.47,1,642.10,Neutral,53.3,Neutral,31.6
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,0.755,4.24,17.09,8,15.08,6.9,0.0605,1.29,76.47,1,642.10,Neutral,53.1,Neutral,42.9
GE-SHEN CORPORATION BERHAD,7197, Main Market,Industrial Products & Services ,0.6,1.23,4.26,11,5.62,0,0,0.48,252.87,0,50.40,Neutral,37.9,Oversold,16.7
GETS GLOBAL BERHAD,5079, Main Market,Consumer Products & Services ,0.1,0.245,-9.37,-4,-3.28,0,0,0.34,23.66,1,15.10,Neutral,45.4,Oversold,16.7
GFM SERVICES BERHAD,39, Ace Market,Industrial Products & Services ,0.365,0.605,8.59,31,1.62,0,0,2.62,26.14,2,233.10,Neutral,50.1,Neutral,42.1
GHL SYSTEMS BERHAD,21, Main Market,Technology ,1.03,1.86,6.11,50,3.33,0,0,3.03,40.02,4,1217.70,Neutral,45.5,Oversold,0
GLOBAL ORIENTAL BERHAD,1147, Main Market,Property ,0.17,0.3,-30.01,-1,-23.11,0,0,0.24,31.02,1,84.10,Neutral,49.9,Neutral,50
GLOBALTEC FORMATION BERHAD,5220, Main Market,Industrial Products & Services ,0.025,0.7,1.4,36,1.32,0,0,0.5,76.84,1,126.50,Neutral,40,Neutral,37.5
GLOBETRONICS TECHNOLOGY BERHAD,7022, Main Market,Technology ,1.39,5.54,23.29,18,10.48,7.28,0.0383,4.22,49.02,4,1271.30,Neutral,47.4,Oversold,11.1
GLOMAC BERHAD,5020, Main Market,Property ,0.36,0.53,2.41,11,3.32,1.49,0.0408,0.27,35.57,1,292.00,Neutral,43.5,Oversold,16.7
GLOMAC BERHAD,5020, Main Market,Property ,0.36,0.53,2.41,11,3.32,1.49,0.0408,0.27,35.57,1,292.00,Neutral,44.1,Neutral,25
GLOMAC BERHAD,5020, Main Market,Property ,0.36,0.53,2.41,11,3.32,1.49,0.0408,0.27,35.57,1,292.00,Neutral,45.2,Neutral,25
GLOMAC BERHAD,5020, Main Market,Property ,0.36,0.53,2.41,11,3.32,1.49,0.0403,0.27,35.57,1,296.00,Neutral,49,Neutral,50
GOLDEN LAND BERHAD,7382, Main Market,Plantation ,0.335,0.56,-5.39,-4,-11.26,0,0,0.19,3.6,11,88.00,Neutral,52,Neutral,45.5
GOLDEN PHAROS BERHAD,5649, Main Market,Industrial Products & Services ,0.17,0.325,0.68,54,0.38,0,0,0.37,54.59,0,27.80,Neutral,52.9,Neutral,50
GOODWAY INTEGRATED INDUSTRIES BERHAD,7192, Main Market,Industrial Products & Services ,0.17,0.33,-7.86,-8,-2.83,0,0,0.61,83.69,0,24.30,Neutral,54.6,Overbought,80
GPA HOLDINGS BERHAD,7096, Main Market,Industrial Products & Services ,0.08,0.12,0.36,274,0.04,0,0,1.05,4.81,2,112.80,Overbought,86.6,Overbought,85.7
GRAND CENTRAL ENTERPRISES BHD,5592, Main Market,Consumer Products & Services ,0.4,0.58,-2.43,-17,-2.72,0,0,0.41,11.76,4,90.60,Neutral,48,Neutral,66.7
GRAND HOOVER BERHAD,7010, Main Market,Property ,0.5,0.835,-3.81,-14,-4.34,0,0,0.53,149.47,0,24.00,Neutral,45.1,Neutral,30.3
GRAND-FLO BERHAD,56, Main Market,Technology ,0.18,0.235,4.87,18,1.13,0,0,0.88,16.99,1,99.00,Neutral,49.8,Neutral,50
GREEN PACKET BERHAD,82, Main Market,Telecommunications & Media ,0.28,0.46,-30.19,-4,-7.31,0,0,1.3,43.92,1,286.30,Neutral,37.1,Oversold,5.9
GREENYIELD BERHAD,136, Main Market,Consumer Products & Services ,0.105,0.2,1.2,65,0.2,0,0,0.78,12.11,1,43.40,Neutral,48.2,Neutral,25
GREENYIELD BERHAD,136, Main Market,Consumer Products & Services ,0.105,0.2,1.2,63,0.2,0,0,0.75,12.11,1,41.70,Neutral,45.4,Oversold,0
GROMUTUAL BERHAD,9962, Main Market,Property ,0.24,0.4,1.71,19,1.59,0.5,0.0169,0.32,13.52,2,110.80,Neutral,55.5,Neutral,46.2
GSB GROUP BERHAD,7077, Main Market,Property ,0.085,0.255,-5.59,-36,-0.52,0,0,2.04,10.44,2,105.00,Neutral,60.5,Neutral,54.5
GUH HOLDINGS BERHAD,3247, Main Market,Industrial Products & Services ,0.42,0.7,-0.53,-53,-0.96,0,0,0.28,125.7,0,141.70,Neutral,54.2,Neutral,61.5
GUNUNG CAPITAL BERHAD,7676, Main Market,Transportation & Logistics ,0.28,0.45,-0.21,-320,-0.09,0,0,0.68,12.04,2,68.50,Neutral,40.1,Oversold,5.6
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,2.48,5.39,17.87,14,17.87,14.56,0.0562,2.59,122.9,2,777.80,Oversold,23.2,Oversold,3.8
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,2.48,5.39,17.35,14,17.87,15,0.0588,2.48,122.9,2,765.80,Oversold,21.7,Oversold,8.7
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,2.48,5.39,17.35,14,17.87,15,0.0591,2.47,122.9,2,762.80,Oversold,19.6,Oversold,4
HALEX HOLDINGS BERHAD,5151, Main Market,Industrial Products & Services ,0.67,1.01,-17.8,-7,-10.5,0,0,1.27,64.29,1,79.50,Neutral,45.2,Oversold,0
HAP SENG CONSOLIDATED BERHAD,3034, Main Market,Industrial Products & Services ,9.27,10.2,16.32,21,46.01,35,0.0356,3.48,250.9,4,24448.70,Neutral,44,Neutral,43.5
HAP SENG PLANTATIONS HOLDINGS BERHAD,5138, Main Market,Plantation ,1.61,2.53,1.78,51,3.64,2.5,0.0134,0.91,48.84,4,1496.00,Neutral,49.3,Oversold,10
HARBOUR-LINK GROUP BERHAD,2062, Main Market,Transportation & Logistics ,0.62,0.76,9.27,7,9.18,1,0.0148,0.68,168.58,0,270.30,Neutral,43.1,Neutral,22.2
HARN LEN CORPORATION BHD,7501, Main Market,Plantation ,0.34,0.675,-6.96,-6,-11.41,0,0,0.4,100.14,1,120.60,Neutral,65,Overbought,89.4
HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008, Main Market,Consumer Products & Services ,3.4,4.09,7.29,12,32.81,0,0,0.85,2414.11,0,260.90,Neutral,50.7,Neutral,44
HB GLOBAL LIMITED,5187, Main Market,Consumer Products & Services ,0.055,0.325,5.64,5,2.37,0,0,0.27,21.25,1,53.80,Overbought,73.8,Neutral,75
HCK CAPITAL GROUP BERHAD,7105, Main Market,Property ,1.2,1.37,3.36,79,1.58,0,0,2.64,9.09,14,522.60,Neutral,40.8,Neutral,33.3
HEITECH PADU BERHAD,5028, Main Market,Technology ,0.34,1.16,-25.5,-3,-28.82,0,0,0.65,379.2,0,73.90,Neutral,48.1,Neutral,41.5
HEKTAR REAL ESTATE INVESTMENT TRUST,5121, Main Market,Real Estate Investment Trusts ,1.09,1.27,5.21,16,7.17,9.01,0.0777,0.84,29.25,4,535.90,Neutral,62.7,Overbought,80
HENG HUAT RESOURCES GROUP BERHAD,175, Ace Market,Industrial Products & Services ,0.115,0.235,-4.44,-12,-1.03,0,0,0.52,33.78,0,40.70,Neutral,37.8,Oversold,20
HENGYUAN REFINING COMPANY BERHAD,4324, Main Market,Energy ,4.51,10.14,1.53,60,10.28,0,0,0.91,3747.08,0,1848.00,Overbought,71.5,Neutral,75.4
HEVEABOARD BERHAD,5095, Main Market,Industrial Products & Services ,0.525,1.06,3.76,22,2.97,3.6,0.0558,0.82,80.11,1,361.60,Neutral,52.7,Neutral,73.3
HEXZA CORPORATION BERHAD,3298, Main Market,Industrial Products & Services ,0.645,0.86,3.92,19,3.61,5,0.0714,0.76,52.14,1,140.30,Neutral,49.3,Neutral,44.4
HIAP HUAT HOLDINGS BERHAD,160, Ace Market,Industrial Products & Services ,0.08,0.125,3.59,16,0.61,0,0,0.56,16.05,1,31.70,Neutral,53.1,Neutral,33.3
HIAP TECK VENTURE BERHAD,5072, Main Market,Industrial Products & Services ,0.22,0.465,-1.65,-25,-1.02,0.5,0.0192,0.42,85.33,0,349.50,Neutral,36.7,Oversold,7.1
HIAP TECK VENTURE BERHAD,5072, Main Market,Industrial Products & Services ,0.22,0.465,-1.65,-26,-1.02,0.5,0.0189,0.43,85.33,0,356.20,Neutral,36.7,Oversold,7.1
HIL INDUSTRIES BERHAD,8443, Main Market,Industrial Products & Services ,0.465,0.8,5.16,11,5.11,0,0,0.55,31.56,2,182.00,Neutral,63.7,Overbought,88.2
HLT GLOBAL BERHAD,188, Ace Market,Industrial Products & Services ,0.125,0.28,-35.64,-3,-4.99,0,0,0.96,25.31,1,69.10,Neutral,39.6,Neutral,25
HO HUP CONSTRUCTION COMPANY BHD,5169, Main Market,Construction ,0.28,0.55,7.54,5,7.31,0,0,0.4,69.34,1,144.30,Neutral,59.4,Neutral,61.1
HO WAH GENTING BERHAD,9601, Main Market,Industrial Products & Services ,0.09,0.205,-119.9,-1,-10.18,0,0,1.24,49.2,0,34.10,Neutral,51.9,Neutral,66.7
HOCK HENG STONE INDUSTRIES BHD,5165, Main Market,Industrial Products & Services ,0.335,0.62,0.24,329,0.17,0,0,0.78,38.69,1,44.80,Neutral,62.9,Overbought,92.9
HOCK SENG LEE BERHAD,6238, Main Market,Construction ,1.29,1.65,6.54,16,9.23,1,0.0069,1.02,104.75,1,839.10,Neutral,43.1,Oversold,5.6
HONG LEONG BANK BERHAD,5819, Main Market,Financial Services ,17.56,21.66,10.45,17,125.03,48,0.0226,1.78,222.52,10,46042.30,Neutral,60.4,Neutral,43.2
HONG LEONG CAPITAL BERHAD,5274, Main Market,Financial Services ,9.6,9.79,8.74,35,27.69,19,0.0198,3.03,118.96,8,2518.30,Oversold,0,Neutral,50
HONG LEONG FINANCIAL GROUP BERHAD,1082, Main Market,Financial Services ,17.38,20.4,10.45,12,169.42,40,0.0205,1.2,464.89,4,22376.60,Neutral,45.2,Neutral,25.6
I-BERHAD,4251, Main Market,Property ,0.36,0.56,5.99,7,5.81,2.13,0.0507,0.43,37.06,1,425.20,Neutral,47.5,Neutral,28.6
ICON OFFSHORE BERHAD,5255, Main Market,Energy ,0.06,0.24,-663.77,0,-37.37,0,0,1.51,16.97,1,100.10,Neutral,46.4,Neutral,37.5
IDEAL UNITED BINTANG INTERNATIONAL BERHAD,9687, Main Market,Property ,0.55,1.86,35.11,3,46.13,0,0,0.91,611.72,0,132.60,Neutral,45.8,Oversold,10.5
IDIMENSION CONSOLIDATED BHD,174, Ace Market,Technology ,0.02,0.11,-0.13,-72,-0.04,0,0,0.1,-11.88,0,8.20,Neutral,60.6,Overbought,100
IFCA MSC BERHAD,23, Ace Market,Technology ,0.185,0.45,14.21,22,1.99,0,0,3.14,15.45,3,267.60,Overbought,82.9,Overbought,95.7
IGB BERHAD,5606, Main Market,Property ,2.2,3.08,6.85,7,34.18,2,0.008,0.5,188.83,1,1723.80,Neutral,51.7,Overbought,80
IHH HEALTHCARE BERHAD,5225, Main Market,Health Care ,4.54,6.42,2.85,82,7.16,0,0,2.34,131.38,4,51563.50,Neutral,61,Overbought,84.4
IJM CORPORATION BERHAD,3336, Main Market,Construction ,1.39,2.98,2.03,38,5.21,5,0.0251,0.77,155.66,1,7235.00,Neutral,60.3,Overbought,95.8
IJM PLANTATIONS BERHAD,2216, Main Market,Plantation ,1.3,2.61,-2.99,-38,-4.52,5,0.0294,1.13,68.98,2,1497.00,Neutral,46.4,Oversold,15.4
IKHMAS JAYA GROUP BERHAD,5268, Main Market,Construction ,0.09,0.455,-14.97,-3,-4.94,0,0,0.45,52.67,0,81.80,Neutral,54.5,Neutral,42.9
INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,2607, Main Market,Plantation ,0.61,0.72,-1.99,-19,-3.29,0,0,0.39,4.6,14,269.30,Neutral,53.2,Overbought,100
INDUSTRONICS BERHAD,9393, Main Market,Technology ,0.07,0.185,-7.14,0,-1615.64,0,0,0.71,12145.53,0,10.30,Neutral,51.6,Neutral,66.7
INIX TECHNOLOGIES HOLDINGS BERHAD,94, Ace Market,Technology ,0.045,0.12,-87.75,-1,-7.45,0,0,0.88,3.37,2,19.40,Neutral,56.6,Overbought,83.3
INNOPRISE PLANTATIONS BERHAD,6262, Main Market,Plantation ,0.605,0.895,1.63,35,2.13,0,0,0.56,23.85,3,354.40,Neutral,56.5,Neutral,35.3
INTA BINA GROUP BERHAD,192, Main Market,Construction ,0.25,0.37,17.84,7,3.96,0,0,1.22,71.57,0,144.50,Neutral,40.4,Oversold,0
INTEGRATED LOGISTICS BHD,5614, Main Market,Transportation & Logistics ,0.43,0.79,-49.8,-1,-50.4,0,0,0.44,12.58,4,87.80,Neutral,48.7,Overbought,100
IOI PROPERTIES GROUP BERHAD,5249, Main Market,Property ,1.21,1.92,4.1,11,13.77,5,0.0331,0.45,44.34,3,8314.30,Neutral,42.6,Neutral,23.8
IPMUDA BERHAD,5673, Main Market,Industrial Products & Services ,0.43,0.9,-22.41,-1,-36.98,0,0,0.3,174.89,0,36.20,Neutral,45.6,Neutral,66.7
IQ GROUP HOLDINGS BERHAD,5107, Main Market,Consumer Products & Services ,1.1,2.07,-0.84,-90,-1.35,5,0.0413,0.75,166.77,1,106.50,Neutral,43.5,Oversold,0
IREKA CORPORATION BERHAD,8834, Main Market,Construction ,0.46,0.685,-8.04,-9,-6.27,2,0.0351,0.73,129.1,0,106.40,Neutral,54.6,Neutral,52
IRE-TEX CORPORATION BERHAD,7183, Main Market,Industrial Products & Services ,0.1,0.29,-4.38,-11,-1.14,0,0,0.48,8.61,1,18.30,Neutral,46,Neutral,33.3
IRIS CORPORATION BERHAD,10, Ace Market,Technology ,0.115,0.2,-17.94,-8,-1.64,0,0,1.48,8.52,2,400.40,Neutral,50.7,Neutral,66.7
ISKANDAR WATERFRONT CITY BERHAD,1589, Main Market,Property ,0.365,1.44,-0.81,-89,-0.79,0,0,0.73,14.5,5,590.40,Neutral,69.4,Overbought,83.1
JAG BERHAD,24, Ace Market,Industrial Products & Services ,0.035,0.09,1.3,41,0.12,0,0,0.54,10.19,0,75.80,Neutral,40.6,Neutral,33.3
JAKS RESOURCES BERHAD,4723, Main Market,Construction ,0.405,1.59,1.9,27,2.59,0,0,0.51,126.65,1,409.30,Neutral,68.4,Overbought,85
JAYA TIASA HOLDINGS BHD,4383, Main Market,Plantation ,0.43,0.96,-9.63,-4,-13.38,0.5,0.0086,0.42,74.95,1,564.80,Neutral,49.8,Neutral,50
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.75,1.2,9.77,8,11.33,8,0.0833,0.83,231.67,0,131.80,Overbought,76,Overbought,93.3
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.75,1.01,9.77,8,11.33,8,0.0842,0.82,231.67,0,130.40,Neutral,64.8,Neutral,62.5
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.75,1.01,9.77,8,11.33,8,0.0847,0.81,231.67,0,129.70,Neutral,62.9,Neutral,58.1
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.75,1.01,9.77,8,11.33,8,0.0842,0.82,231.67,0,130.40,Neutral,63.9,Neutral,61.3
JCBNEXT BERHAD,58, Main Market,Industrial Products & Services ,1.34,1.78,3.06,21,7.28,0,0,0.64,6.19,25,209.40,Neutral,47.9,Neutral,40
JCY INTERNATIONAL BERHAD,5161, Main Market,Technology ,0.155,0.405,-11.1,-4,-5.1,0,0,0.47,62.98,0,446.50,Neutral,56.8,Neutral,57.1
JERASIA CAPITAL BERHAD,8931, Main Market,Consumer Products & Services ,0.335,0.46,6.35,3,11.94,0.5,0.0137,0.19,581.41,0,29.90,Neutral,51.6,Neutral,66.7
JHM CONSOLIDATION BERHAD,127, Ace Market,Technology ,0.7,1.52,19.18,18,6.33,1.5,0.0132,3.45,47.51,2,635.70,Neutral,56.9,Neutral,47.4
JIANKUN INTERNATIONAL BERHAD,8923, Main Market,Property ,0.25,0.38,1.63,67,0.49,0,0,1.08,18.67,2,54.20,Neutral,52.6,Neutral,61.5
JKG LAND BERHAD,6769, Main Market,Property ,0.07,0.1,0.45,87,0.09,0,0,0.4,3.37,2,182.00,Neutral,58.6,Neutral,50
