full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
ARK RESOURCES HOLDINGS BERHAD,7007, Main Market,Property ,0.28,0.65,-18.2,-9,-5.46,0,0,1.67,7.46,7,24.30,Neutral,59.3,Overbought,100
ASDION BERHAD,68, Ace Market,Technology ,0.155,0.535,-30.71,-12,-2.15,0,0,3.71,9.78,3,30.20,Neutral,65.8,Overbought,88.9
ASDION BERHAD,68, Ace Market,Technology ,0.155,0.535,-30.71,-13,-2.15,0,0,3.93,9.78,3,32.00,Neutral,61.6,Neutral,61.5
ASDION BERHAD,68, Ace Market,Technology ,0.155,0.535,-30.71,-12,-2.15,0,0,3.79,9.78,3,30.80,Neutral,53.4,Neutral,30
ASDION BERHAD,68, Ace Market,Technology ,0.155,0.535,-30.71,-13,-2.15,0,0,3.93,9.78,3,32.00,Neutral,60,Neutral,50
ASDION BERHAD,68, Ace Market,Technology ,0.155,0.535,-30.71,-13,-2.15,0,0,4,9.78,3,32.60,Neutral,62.9,Neutral,60
ASIA FILE CORPORATION BHD,7129, Main Market,Consumer Products & Services ,2.38,2.93,7.63,11,23.38,11,0.0435,0.83,169.94,1,492.70,Neutral,38.7,Neutral,25
ASIA MEDIA GROUP BERHAD,159, Main Market,Telecommunications & Media ,0.075,0.18,-14.65,-13,-1.31,0,0,1.85,5.58,3,39.50,Neutral,57.1,Neutral,40
ASIA POLY HOLDINGS BERHAD,105, Ace Market,Industrial Products & Services ,0.06,0.115,-3.37,-12,-0.64,0,0,0.42,16.27,0,35.90,Neutral,51.5,Neutral,50
ASIAN PAC HOLDINGS BERHAD,4057, Main Market,Property ,0.11,0.165,3.8,3,3.65,0,0,0.12,14.9,1,119.30,Neutral,45.8,Oversold,0
ASTINO BERHAD,7162, Main Market,Industrial Products & Services ,0.59,0.965,5.57,9,7.58,1,0.0149,0.49,201.89,0,183.70,Neutral,49.6,Neutral,50
ASTRAL ASIA BERHAD,7054, Main Market,Plantation ,0.14,0.21,-2.7,-18,-0.81,0,0,0.48,3.9,4,95.70,Neutral,44.5,Oversold,0
ASTRO MALAYSIA HOLDINGS BERHAD,6399, Main Market,Telecommunications & Media ,1.05,2.09,79.14,17,8.88,9,0.0588,13.64,105.08,1,7977.90,Neutral,44.9,Neutral,38.5
AT SYSTEMATIZATION BERHAD,72, Ace Market,Industrial Products & Services ,0.045,0.095,-10.26,-3,-1.59,0,0,0.29,4.78,1,20.90,Neutral,37.3,Oversold,0
ATA IMS BERHAD,8176, Main Market,Industrial Products & Services ,1.34,1.88,21,18,9.45,0,0,3.84,229.61,1,1984.30,Neutral,47.1,Neutral,31.3
ATTA GLOBAL GROUP BERHAD,7099, Main Market,Industrial Products & Services ,0.545,0.93,-1.11,-38,-1.82,0,0,0.42,77.18,1,147.20,Neutral,58.8,Neutral,61.3
ATURMAJU RESOURCES BERHAD,7181, Main Market,Industrial Products & Services ,0.035,0.6,17.9,8,5.22,0,0,1.42,18.84,2,33.60,Neutral,56.6,Neutral,57.4
AVILLION BERHAD,8885, Main Market,Consumer Products & Services ,0.2,0.425,-5.74,-14,-1.79,0,0,0.79,13.71,2,210.30,Neutral,52,Neutral,50
AWC BERHAD,7579, Main Market,Industrial Products & Services ,0.6,0.93,12.96,9,8.45,0.47,0.0061,1.17,112.5,1,220.20,Neutral,60.4,Neutral,73.7
